id,severity,remediation_risk,remediation_axis,persona,area,finding,evidence,proposed_action,disposition
EC-01,High,Low,,QA,status reader,Non-numeric started_at_utc -> time.time()-str TypeError not caught by (JSONDecodeError,OSError); scan_runs builds RunInfo per-entry with no guard so one bad run crashes whole status/inspect,status.py:205/212/216/250 scan_runs 485-490,Coerce/validate numeric fields + per-run try/except in scan_runs,proposed
EC-02,High,Low,,QA,status sort,runs.sort key started_at_utc or 0 raises TypeError str<int if value is a string,status.py:490,Numeric-safe sort key,proposed
EC-03,High,Low,,QA,status render,_format_timestamp datetime.fromtimestamp(epoch) guards only None; string/NaN/negative/out-of-range raises and crashes render,status.py:542-547,Guard with try/except -> '-' or str(epoch),proposed
EC-04,Medium,Low,,QA,status reader,signals_received iterated as list-of-dicts (.get) and len(); non-dict/non-list entry raises AttributeError/TypeError uncaught,status.py:112-119/172/740/813-817,Guard iteration and len against wrong types,proposed
EC-05,Medium,Low,,Security/SWE,liveness,os.kill(pid,0) unguarded for pid<=0 (POSIX process-group semantics) and OverflowError for huge pid -> wrong RUNNING verdict driving close_out_crashed_run,liveness.py:32-41 status.py:213/264,Return False for pid<=0 and catch OverflowError,proposed
EC-06,Medium,Low,,Security/SWE,liveness,expected_script in cmdline substring match false-positives on recycled PID or generic token (python/-c),liveness.py:59-70/84/102/131,Stricter basename/word-boundary match; require non-generic token,proposed
EC-07,Medium,Low,,Security/SWE,liveness,is_same_process returns True (alive) when process start-time unreadable -> reused PID treated as original,liveness.py:~145-150,Do not default to alive; fall back to age/hostname heuristic,proposed
EC-08,Medium,Low,,SWE,packages,sorted(records key name.lower()) outside try; None dist Name -> None.lower() propagates -> run ghosted (full-environment/top-level modes; default imported-only safe),packages.py:112/136,Move sorted inside try or null-guard name,proposed
EC-09,High,Low,,SWE,memory,manual_subprocess_records uncapped unlike SubprocessSpy._records -> unbounded growth/OOM under tight loops,core.py:684-686/716-718/774-776,Cap at capture.subprocesses.max_tracked_commands,proposed
EC-10,Medium,Low,,SWE,external cmd,hardware.py subprocess.check_output has no timeout; hung nvidia-smi/system_profiler orphans thread+child leaves non-terminal pending hardware state in manifest,hardware.py:17/24/43/50/78/107/127 tracker.py:437-438/603,Add configurable timeout; terminal 'timeout' state on timeout,proposed
EC-11,Medium,Low,,SWE,external cmd,macOS/Windows RSS pollers and macOS tree ps have no timeout -> orphaned watcher thread+child on hang,resources.py:13-27/42-60/97-148,Add configurable poll timeout,proposed
EC-12,Medium,Low,,QA,resource monitor,Three consecutive poll failures (any 0 RSS incl transient errors) permanently stop telemetry with no recovery -> under-reported peak on long runs,resources.py:229-237,Count only raised exceptions toward threshold and/or raise threshold,proposed
EC-13,Medium,Low,,Stakeholder,git capture,Hardcoded git timeout=1 -> slow/large repo silently recorded as 'Not a git repository',git.py:24-30/40-46,Configurable larger timeout; distinguish timeout from no-repo,proposed
EC-14,Medium,Low,,QA,config loading,tomllib.loads in load_local_config/load_user_config unguarded; malformed .pubrun.toml crashes CLI call sites (scan_runs) though Run.__init__ falls back,config.py:73-104 status.py:477 tracker.py:54-61,Try/except per file: warn and skip malformed file,proposed
EC-15,Medium,Low,,SWE,signals,_restore_excepthook restores without identity check -> clobbers a later-installed hook (console.py does it right),signals.py:242-246 cf console.py:200-203,Identity-guard the restore,proposed
EC-16,Medium,Low,,SWE,console tee,Passthrough original_stream.write only catches BrokenPipeError; other write errors (closed stdout) propagate out of tee write; non-default (capture_mode!=off),console.py:70-82,Broaden guard to (OSError,ValueError) around passthrough,proposed
EC-17,Medium,Low,,Domain,timestamps,status.py renders epochs in local time; diff.py renders UTC -> inconsistent/misleading timing for provenance,status.py:546 vs diff.py:12-21,Standardize status on UTC and label zone,proposed
EC-18,Medium,Low,,SWE,diff export,unflatten_manifest scalar/dict prefix collision (e.g. package named numpy.core or env var with dot) -> TypeError; export json path broken (CLI catch prevents host crash),diff.py:102-113/199 __main__.py:338,Guard prefix collisions in unflatten,proposed
EC-19,Low,Low,,SWE,diff correctness,List-diff x not in / .index uses == so True/1 alias -> wrong markers; env flatten assumes list-of-dicts and collapses duplicate names,diff.py:43-56/138/149-153 render.py:39/46,Type-tagged value comparison; guard non-list inputs,proposed
EC-20,Low,Low,,SWE,events,event_count = max(1,file_size//120) shown verbatim as Events:N with no estimate label; wrong for large/partial lines,status.py:236,Label as estimate or count cheaply,proposed
EC-21,Low,Low,,SWE,print wrapper,pubrun.print sep.join(map(str,args)) before try; sep=None (accepted by builtin print) raises AttributeError; only reachable via explicit pubrun.print (not in builtins),core.py:458-462,Normalize sep/end defaults inside guard,proposed
EC-22,Low,Low,,QA,combined logs,combined interleave sorts on timestamp string; empty-timestamp lines sort to top -> mis-ordered chronology,__main__.py:754/769/799,Stable sort with original-order secondary key,proposed
EC-23,Low,Low,,SWE,manifest timing,elapsed_seconds from wall-clock time.time() -> negative under backward clock step; display handles it but persisted value negative,tracker.py:441/551 status.py:444-446/525,Note limitation or clamp with flag,proposed
EC-24,Low,Low,,SWE,Popen race,_log_pubrun_record check-then-set _pubrun_logged non-atomic -> double-append under concurrent wait/poll,core.py:698-734,Guard flag under a lock,proposed
EC-25,Low,Low,,SWE,manual subproc,pubrun.subprocess.run records nothing when wrapped call raises (unlike SubprocessSpy) -> missing provenance for failed manual subprocess,core.py:660-688,Record failed invocation,proposed
EC-26,Low,Low,,SWE,code hygiene,compare_manifests(ignores: List[str]=[]) mutable default argument (latent),diff.py:116,Use None default,proposed
EC-27,High,Medium-High,Functionality/Complexity,SWE,signals,_make_handler runs full finalization (write_artifacts JSON I/O + hashlib + 2s thread join + lock) inside SIGTERM/SIG_DFL signal handler -> not async-signal-safe deadlock/hang risk,signals.py:176-190,Redesign to defer finalization off signal context (dedicated IPD + characterization tests),deferred
